,Target Job Title,Matched Job Title,Similarity Score
497,Senior Partner Success Strategist,Search Marketing Strategists,0.41832846
498,Associate Rector,"Education Administrators, All Other",0.5463973
499,Assistant Professor of Medicine,Medical Assistants,0.6707989
500,Corporate Strategy Manager,Marketing Managers,0.630209
501,Operations Coordinator,"Business Operations Specialists, All Other",0.7016073
502,High School Social Studies Teacher,"Social Sciences Teachers, Postsecondary, All Other",0.7126658
503,Marketing Science Lead,Marketing Managers,0.6581177
504,Carbon Data Analyst,Data Scientists,0.498184
505,Senior Search Consultant,Search Marketing Strategists,0.54063046
506,Creative Operations Manager,General and Operations Managers,0.6608362
507,Enterprise Account Executive,Chief Executives,0.53957546
508,Graduate Resident Associate,Residential Advisors,0.470385
509,Music Curator,Music Directors and Composers,0.66167843
510,Strategic Reputation Advisor,Management Analysts,0.5081136
511,Capital Markets Analyst,Financial and Investment Analysts,0.77839965
512,Budget Analyst,Budget Analysts,0.932948
513,Integrated Media Manager,Media Technical Directors/Managers,0.5332712
514,Impact Executive,Chief Executives,0.52317286
515,Veterans and Military Affairs Data Analyst,Data Scientists,0.51648176
516,Production Stage Manager,Industrial Production Managers,0.67308295
517,Curatorial Operations Associate,Curators,0.77484256
518,Senior Solution Engineer,Industrial Engineers,0.63459074
519,Corporate Strategy Principal,Management Analysts,0.51587677
520,Assistant Federal Defender,Legal Secretaries and Administrative Assistants,0.53836554
521,English Second Language Teacher,"English Language and Literature Teachers, Postsecondary",0.64165246
522,Information Security Analyst,Information Security Analysts,0.9468612
523,Production Software Engineer,Software Developers,0.75040054
524,Technology and Strategy Consultant,Information Technology Project Managers,0.5315113
525,Junior Fullstack Software Engineer,Software Developers,0.54100746
526,Judge Advocate,Judicial Law Clerks,0.6484628
527,Staff Engineer,Industrial Engineers,0.7425617
528,Legislative Advocate,Legislators,0.76145554
529,Student Consultant,Training and Development Specialists,0.5663302
530,Painter,"Fine Artists, Including Painters, Sculptors, and Illustrators",0.665854
531,Product Engineering Lead,Manufacturing Engineers,0.5431342
532,Freelance Illustrator,"Fine Artists, Including Painters, Sculptors, and Illustrators",0.59699225
533,Sr Manager,"Managers, All Other",0.5811913
534,Senior Staff Editor,Editors,0.7466775
535,Masters Candidate,"Managers, All Other",0.39807844
536,Policy Associate,Compliance Officers,0.56552184
537,Legal Specialist II,Lawyers,0.6435194
538,Senior Technical Product Manager,Industrial Production Managers,0.61862504
539,Diversity Program Manager,Human Resources Managers,0.46230868
540,Associate,Dental Assistants,0.5468349
541,Advisor,Residential Advisors,0.6999389
542,Substation Design Engineer,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",0.58364105
543,Senior Associate,Archivists,0.5272752
544,Senior Intelligence Associate,Intelligence Analysts,0.6437496
545,Robertson Leadership Fellow,Chief Sustainability Officers,0.47768068
546,Data Operations Specialist,Data Warehousing Specialists,0.7319715
547,Equity Capital Markets Associate,Financial and Investment Analysts,0.534352
548,Senior Communications Assistant,Medical Assistants,0.59490335
549,Juris Doctor Student,Lawyers,0.6101854
550,Counsel,"Counselors, All Other",0.7093902
551,Assistant Manager,Administrative Services Managers,0.6782806
552,Landscape Designer,Landscape Architects,0.85924417
553,Partner Account Manager,Financial Managers,0.50175345
554,Program Coordinator,Instructional Coordinators,0.73356986
555,Communications Program Manager,Telecommunications Engineering Specialists,0.648847
556,HCPS Full Stack Developer,Software Developers,0.4128245
557,Senior Assistant Director,Executive Secretaries and Executive Administrative Assistants,0.6480229
558,Superintendent,"Education Administrators, All Other",0.6122839
559,Lead Robotics Engineer,Robotics Engineers,0.6864836
560,Operations Lead,General and Operations Managers,0.5573356
561,Resident Director,Residential Advisors,0.53571457
562,Associate Fashion Editor,Fashion Designers,0.64757633
563,Senior Global Brand Manager,Marketing Managers,0.63207436
564,Research & Operations Associate,Operations Research Analysts,0.70978284
565,Business Reporter,"News Analysts, Reporters, and Journalists",0.5976969
566,Regional Manager,"Managers, All Other",0.59377766
567,Data and Language Intelligence Analyst,Intelligence Analysts,0.7009693
568,Senior Northeast District Manager,Administrative Services Managers,0.5092242
569,Student Representative,Legislators,0.5543548
570,Talent Acquisition Specialist,Talent Directors,0.68957007
571,Unit Coordinator,Instructional Coordinators,0.69602644
572,Bassoonist,Musicians and Singers,0.46488193
573,Westin Research Fellow,Human Resources Specialists,0.4345621
574,Chief Executive Officer(CEO),Chief Executives,0.8688526
575,Recruiting Lead,Coaches and Scouts,0.5029043
576,Planning Services Lead,Urban and Regional Planners,0.49288064
577,Policy Manager,Administrative Services Managers,0.62610817
578,Specialist,"Surgeons, All Other",0.62307084
579,Powertrain Integration Engineer,Locomotive Engineers,0.540789
580,Natural Catastrophe Specialist,Sustainability Specialists,0.61886144
581,Hand and Upper Extremity Surgeon,"Surgeons, All Other",0.64960515
582,Educator,"Education Administrators, All Other",0.6943649
583,Project mentor,Project Management Specialists,0.6700505
584,Named Post-Doctoral Fellow,"Life Scientists, All Other",0.40875512
585,Brand Marketing Manager,Marketing Managers,0.86894804
586,Operations Research Engineering Lead,Operations Research Analysts,0.7329167
587,Director of Business Development,Training and Development Specialists,0.53633386
588,Rehearsal and Audition Pianist,Musicians and Singers,0.48820734
589,Data Product Manager,Data Warehousing Specialists,0.5828569
590,Bookseller,Retail Salespersons,0.46187073
591,Sr. Director,Producers and Directors,0.6165469
592,Hand Surgery Fellow,"Surgeons, All Other",0.6111964
593,Coordinating Producer,Producers and Directors,0.60310805
594,Partnerships,Fundraisers,0.43861556
595,Client Success Manager,Marketing Managers,0.40882936
596,Bank Examiner,Financial Examiners,0.82374847
597,Communications Associate,"Communications Teachers, Postsecondary",0.65232474
598,Assistant Psychological Wellbeing Practitioner,Occupational Therapy Assistants,0.6166903
599,Senior Software Systems Engineer,Software Developers,0.6697983
600,Enablement Experience Manager,Compliance Managers,0.36111146
601,Environmental Scientist III,"Environmental Scientists and Specialists, Including Health",0.70693815
602,Technical Delivery Manager,Logistics Engineers,0.6425876
603,Clinical Manager,Medical and Health Services Managers,0.8078067
604,Staff Data Scientist,Data Scientists,0.82627326
605,Guest Lecturer,"Teachers and Instructors, All Other",0.4702286
606,Electrophysics Engineer Level 2,Electrical Engineers,0.6014694
607,Postdoctoral Associate Lecturer,"Office Clerks, General",0.49420744
608,Market Data Analyst,Market Research Analysts and Marketing Specialists,0.73538727
609,Exhibitor Services Representative,Set and Exhibit Designers,0.59765303
610,Chief Physician,"Physicians, All Other",0.7141168
611,Columnist,"News Analysts, Reporters, and Journalists",0.48894852
612,Innovation Program Officer,Training and Development Specialists,0.57972383
613,Deputy Digital Director,File Clerks,0.4935261
614,Senior Content Marketing Manager,Marketing Managers,0.76362115
615,Investor Relations Director,Financial and Investment Analysts,0.5848421
616,Special Faculty,"Special Education Teachers, All Other",0.672225
617,Client Strategy Analyst,Management Analysts,0.5315002
618,Minor League Baseball Player,Sports Medicine Physicians,0.37422782
619,Equity Research Analyst,Financial and Investment Analysts,0.7361257
620,Legal Extern,Lawyers,0.47928065
621,Trainee Psychological Wellbeing Practitioner,Mental Health Counselors,0.558624
622,Research team manager,Project Management Specialists,0.6321763
623,Customer Marketing Manager,Marketing Managers,0.89476764
624,Senior Digital Content Writer,Technical Writers,0.5315236
625,Software and Energy Systems Engineer,Computer Systems Engineers/Architects,0.6455387
626,Chief Executive Officer,Chief Executives,0.8709972
627,Global Communications Associate Officer,Telecommunications Engineering Specialists,0.56420624
628,Strategy Insights and Planning Associate,Business Continuity Planners,0.5086837
629,Junior Specialist,"Pediatricians, General",0.5963769
630,Editorial Board Member,Editors,0.5442385
631,Account Executive III,Chief Executives,0.52837163
632,Civic Engagement Manager,Public Relations Managers,0.46298766
633,Senior Engineer I,Industrial Engineers,0.7046464
634,Farmer,Farm Labor Contractors,0.63329226
635,Executive Engagement Senior Specialist,Residential Advisors,0.47660887
636,Assistant Attending Physician,Physician Assistants,0.89763415
637,Hematology/Oncology Fellow,Histology Technicians,0.51465577
638,Affiliate,Online Merchants,0.50066566
639,Founder & Director,Producers and Directors,0.57528543
640,Fulbright-Fogarty Fellow,Travel Agents,0.40474623
641,Proprietary Trader,Online Merchants,0.52231795
642,Data Integration Specialist,Data Warehousing Specialists,0.7165605
643,Cash App Finance and Strategy Lead,Financial Managers,0.38410968
644,Affiliated Faculty,"Education Teachers, Postsecondary",0.5317244
645,Writer and editor,Editors,0.80406296
646,Data Coordinator,Data Scientists,0.66754746
647,Applications Development Assistant II,Statistical Assistants,0.45173466
648,Political Adviser,Political Scientists,0.64524394
649,Outreach Director,Emergency Management Directors,0.5202511
650,Generalist,Geneticists,0.4810847
651,Foreign Attorney,Lawyers,0.5765401
652,Deputy Research Director,Clinical Research Coordinators,0.5442344
653,Junior Research Fellow,Clinical Research Coordinators,0.49286738
654,Membership Coordinator,Instructional Coordinators,0.6247046
655,Regional Sales Director,Sales Managers,0.62519705
656,Team Lead,Team Assemblers,0.45791858
657,Senior Partner Channel Marketing Manager,Marketing Managers,0.63179356
658,Senior Strategy Associate,"Military Officer Special and Tactical Operations Leaders, All Other",0.5003179
659,Quantitative Strategist,Search Marketing Strategists,0.57827437
660,Region Finance Analyst,Financial and Investment Analysts,0.6948135
661,Data Lead,Data Scientists,0.5043402
662,National Managing Director,"Managers, All Other",0.5896539
663,Technical Engagement Manager,Marketing Managers,0.53212166
664,Sales Account Manager,Sales Managers,0.7882259
665,Senior Executive Coach,Chief Executives,0.5633545
666,Head of People,Costume Attendants,0.44995862
667,Space Policy Advisor,Climate Change Policy Analysts,0.5225451
668,Interior Designer,Interior Designers,0.96689814
669,Software Engineer 2,Software Developers,0.7133048
670,New Ventures Principal,New Accounts Clerks,0.45638683
671,Senior Account Executive,Chief Executives,0.59227145
672,TV News Assistant,"News Analysts, Reporters, and Journalists",0.5561451
673,Product Technology Manager,Industrial Production Managers,0.6395427
674,Solutions Consultant,Project Management Specialists,0.589151
675,Technology and National Security Fellow,Information Security Engineers,0.56305563
676,Community Schools Coordinator,Instructional Coordinators,0.7056539
677,Vice Provost Postdoctoral Fellow,Archivists,0.49637517
678,Undergraduate President Emerita,"Education Administrators, Postsecondary",0.43477622
679,Resident Composer,Music Directors and Composers,0.5892569
680,Captain,"Captains, Mates, and Pilots of Water Vessels",0.4935606
681,Student Therapist,"Therapists, All Other",0.7485298
682,Deputy Assistant Secretary,Legal Secretaries and Administrative Assistants,0.6286107
683,Receptionist,Receptionists and Information Clerks,0.7442647
684,Director of Ecommerce,Sales Managers,0.4899299
685,Quantitative Software Engineer,Software Developers,0.63830554
686,Chairperson,Chief Executives,0.6030549
687,Air Quality Consultant,Environmental Engineers,0.5373551
688,Emergency Medicine Physician,Emergency Medicine Physicians,0.96900624
689,Analytics Branch Chief,Chief Sustainability Officers,0.50730044
690,Senior Business Developer,"Business Operations Specialists, All Other",0.6366102
691,Poet,"Poets, Lyricists and Creative Writers",0.7203387
692,President - Unit,"Service Unit Operators, Oil and Gas",0.44742057
693,PLUS Program Coordinator,Instructional Coordinators,0.6229227
694,Marketing and Communications Manager,Marketing Managers,0.8258524
695,NIH Postdoctoral Fellow,Postal Service Clerks,0.49733287
